0,Emotion,Confidence,Room,Device
4/16/2025 16:40:19,Sad,25.26,Gallery 3,
4/16/2025 16:40:47,Fear,25.23,Gallery 3,
4/16/2025 16:40:51,Sad,25.35,Gallery 3,
4/16/2025 16:43:41,Surprise,34.08,Gallery 3,
4/16/2025 16:43:53,Neutral,0,Entrance,
4/16/2025 16:43:54,Surprise,46.85,Entrance,
4/16/2025 16:45:10,Fear,31.17,Gallery 1,
4/16/2025 16:45:12,Surprise,31.31,Gallery 1,
4/16/2025 16:45:29,Fear,32.31,Gallery 1,
4/16/2025 16:45:32,Surprise,26.77,Gallery 1,
4/16/2025 16:45:45,Fear,32.24,Gallery 1,
4/16/2025 16:45:49,Surprise,37.24,Gallery 1,
4/16/2025 16:45:58,Fear,34.72,Gallery 1,
4/16/2025 16:46:02,Surprise,35.35,Gallery 1,
4/16/2025 16:48:33,Sad,25.36,Gallery 1,
4/16/2025 16:48:35,Surprise,26.16,Gallery 1,
4/16/2025 16:48:37,Fear,28.85,Gallery 1,
4/16/2025 16:48:39,Surprise,27.89,Gallery 1,
4/16/2025 16:48:50,Fear,28.72,Gallery 1,
4/16/2025 16:48:54,Surprise,27.07,Gallery 1,
4/16/2025 16:49:04,Fear,27.48,Gallery 1,
4/16/2025 16:49:10,Surprise,27.03,Gallery 1,
4/16/2025 16:49:13,Fear,27.13,Gallery 1,
4/16/2025 17:27:38,Neutral,0,Entrance,
4/16/2025 17:27:46,Surprise,25.3,Entrance,
4/16/2025 17:27:49,Fear,25.46,Gallery 1,
4/16/2025 17:27:51,Surprise,26.96,Gallery 1,
4/16/2025 18:12:13,Neutral,0,Entrance,
4/16/2025 18:12:17,Fear,26.9,Entrance,
4/16/2025 18:12:19,Surprise,29.45,Entrance,
4/16/2025 18:12:23,Fear,27.46,Entrance,
4/16/2025 18:12:23,Surprise,27.79,Entrance,
4/16/2025 18:12:25,Sad,27.16,Entrance,
4/16/2025 18:12:37,Fear,25.92,Entrance,
4/16/2025 18:12:38,Surprise,32.42,Entrance,
4/16/2025 18:13:03,Fear,28.51,Entrance,
4/16/2025 18:13:14,Surprise,26.57,Entrance,
4/16/2025 18:13:19,Fear,28.11,Entrance,
4/16/2025 18:13:25,Surprise,25.6,Entrance,
4/16/2025 18:13:38,Sad,28.75,Entrance,
4/16/2025 18:13:41,Happy,35.27,Entrance,
4/16/2025 18:13:43,Fear,29.38,Entrance,
4/16/2025 18:13:46,Surprise,31.33,Entrance,
4/16/2025 18:14:32,Fear,27.27,Entrance,
4/16/2025 18:14:45,Neutral,25.42,Entrance,
4/16/2025 18:14:48,Fear,25.23,Entrance,
4/16/2025 18:15:06,Sad,28.19,Entrance,
4/16/2025 18:15:19,Neutral,26.4,Entrance,
4/16/2025 18:15:21,Sad,25.9,Entrance,
4/16/2025 18:15:44,Fear,25.62,Entrance,
4/16/2025 18:17:14,Sad,25.17,Entrance,
4/16/2025 18:17:20,Fear,28.24,Entrance,
4/16/2025 18:17:26,Surprise,31.22,Entrance,
4/17/2025 3:55:44,Neutral,0,Entrance,
4/17/2025 4:01:04,Neutral,0,Entrance,
4/17/2025 13:02:10,Neutral,0,Entrance,
4/17/2025 17:47:12,Neutral,0,Entrance,
4/17/2025 17:47:22,Happy,25.82,Entrance,
4/17/2025 17:47:25,Neutral,26.26,Entrance,
4/17/2025 17:47:36,Happy,26.99,Entrance,
4/17/2025 17:47:38,Neutral,26.36,Entrance,
4/17/2025 17:48:01,Sad,29.16,Entrance,
4/17/2025 17:48:04,Surprise,34.87,Entrance,
4/17/2025 17:48:07,Sad,31.66,Entrance,
4/17/2025 17:48:12,Neutral,29.18,Entrance,
4/17/2025 17:54:42,Sad,26.85,Entrance,
4/17/2025 17:55:10,Neutral,27.06,Entrance,
4/17/2025 17:55:18,Sad,28.13,Entrance,
4/17/2025 17:55:23,Neutral,26.13,Entrance,
4/17/2025 17:57:10,Happy,44.96,Entrance,
4/17/2025 17:57:14,Neutral,30.94,Entrance,
4/17/2025 17:57:23,Surprise,25.37,Entrance,
4/17/2025 17:57:27,Neutral,25.59,Entrance,
4/17/2025 18:00:01,Sad,29.78,Entrance,
4/17/2025 18:00:17,Neutral,25.22,Entrance,
4/17/2025 18:00:45,Sad,28.54,Entrance,
4/17/2025 18:01:01,Neutral,30.73,Entrance,
4/17/2025 18:02:17,Sad,28.18,Entrance,
4/17/2025 18:02:21,Neutral,27.13,Entrance,
4/17/2025 18:03:55,Surprise,28.93,Entrance,
4/17/2025 18:04:15,Neutral,31.52,Entrance,
4/17/2025 18:05:21,Sad,29.36,Entrance,
4/17/2025 18:05:37,Neutral,27.13,Entrance,
4/17/2025 18:06:13,Sad,28.19,Entrance,
4/17/2025 18:06:17,Neutral,27.94,Entrance,
4/17/2025 18:06:25,Sad,29.31,Entrance,
4/17/2025 18:06:29,Neutral,31.9,Entrance,
4/17/2025 18:08:01,Happy,30.07,Entrance,
4/17/2025 18:08:05,Surprise,28.24,Entrance,
4/17/2025 18:08:09,Neutral,27.36,Entrance,
4/17/2025 18:08:17,Sad,26.21,Entrance,
4/17/2025 18:08:25,Neutral,27.32,Entrance,
4/17/2025 18:08:41,Sad,25.96,Entrance,
4/17/2025 18:08:45,Neutral,27.34,Entrance,
4/17/2025 18:08:50,Sad,26.06,Entrance,
4/17/2025 18:08:54,Neutral,27.26,Entrance,
4/17/2025 18:09:21,Sad,26.04,Entrance,
4/17/2025 18:09:25,Neutral,27.38,Entrance,
4/17/2025 18:09:33,Sad,26.18,Entrance,
4/17/2025 18:09:37,Neutral,27.07,Entrance,
4/17/2025 18:09:46,Sad,26.13,Entrance,
4/17/2025 18:09:49,Neutral,27.19,Entrance,
4/17/2025 18:09:53,Sad,25.93,Entrance,
4/17/2025 18:09:57,Neutral,27.31,Entrance,
4/17/2025 18:10:06,Sad,25.97,Entrance,
